PP,PSOE,IU,CIU,EAJ-PNV,CC,BNG,HB,ERC,PA,EA,UV,LVE,CHA,UC,UPV-BN,PSM-ENE,LV-GV,CDN,PRT,PCPE,PH,PAS,FEA,UPL,ICV-GORORDO,LV,CEX,UM,TC-PNC,PRIOJANO,PEC,URCL,NA,AUN,PREPAL,SOS,CR,FREPIC,PSPC,PRCM,FPG,SIEX,PRIM,PRV,FEI,NR,AR,PICC,ENV,PB,PCN,UPRA,UAD,ADEC,VDPA,N,ALAS,ABA,PRGU,LAE,DSA,LG,PIZ,PNM,AFIT,CCV,PAE,POR
167254,208287,42434,0,0,0,0,0,0,0,0,0,0,0,502,0,0,0,0,288,584,0,0,0,0,0,0,3389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1073,0,0,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115444,131616,20068,0,0,0,0,0,0,0,0,0,0,0,505,0,0,0,0,193,0,140,0,174,0,0,0,3923,0,0,0,0,0,0,0,0,0,124,0,0,0,0,605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
325922,233344,29669,0,0,0,87824,0,0,0,0,0,3102,0,1228,0,0,0,0,0,0,619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129523,78692,6292,0,0,0,24136,0,0,0,0,0,857,0,439,0,0,0,0,0,0,108,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112326,83474,3915,0,0,0,27779,0,0,0,0,0,611,0,231,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
259634,178981,22377,0,0,0,80408,0,0,0,0,0,2026,0,715,0,0,0,0,0,0,607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1642489,1046904,547901,0,0,0,0,0,0,0,0,0,5492,0,12220,0,0,12975,0,1339,1588,1495,0,1031,0,0,8483,0,0,0,0,0,0,0,1907,815,0,712,0,0,0,0,0,1671,976,867,0,656,0,0,0,0,0,0,598,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120335,98102,40354,0,3158,0,0,26451,0,0,12233,0,0,0,356,0,0,0,17020,501,0,0,0,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45731,42561,19535,0,33761,0,0,12552,0,0,9364,0,774,0,213,0,0,0,0,255,0,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56651,89645,28644,0,77976,0,0,72829,0,0,58030,0,2199,0,236,0,0,0,0,431,0,374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128904,166293,67954,0,204056,0,0,69472,0,0,36234,0,3058,0,430,0,0,0,0,560,0,394,0,139,0,11833,0,0,0,0,0,0,0,0,0,0,0,331,0,0,0,0,0,0,0,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350337,266738,73961,0,0,0,0,0,0,0,0,0,0,0,1916,0,0,0,0,892,0,0,0,669,0,0,0,0,0,0,0,0,0,0,711,0,0,0,0,0,0,0,0,0,0,0,1452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88069,65311,15530,0,0,0,0,0,0,0,0,0,0,0,472,0,0,0,0,0,0,0,0,167,0,0,0,0,0,0,6065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
382321,335149,88772,0,0,0,0,0,1034,0,0,4292,6707,0,1239,5586,0,0,0,473,1825,370,0,818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,324,0,292,0,0,651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140578,120997,23003,0,0,0,0,0,840,0,0,5933,2446,0,544,4341,0,0,0,174,666,144,0,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
607914,534847,174807,0,0,0,0,0,1420,0,0,81350,11249,0,1599,16850,0,0,0,475,1415,486,0,621,0,0,0,0,0,0,0,0,0,0,428,0,0,482,0,0,0,0,0,0,0,0,0,0,0,574,0,0,0,0,0,0,0,402,0,0,296,0,0,0,0,0,0,0,0
17288,11627,718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13788,11810,950,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0
