PSOE,PP,IU,CIU,CDS,EAJ-PNV,CC,HB,ERC,VERDES,PAR,EA-EUE,BNG,UV,PA,LE,ARM-ADE,PAP,UPV,PST,UPCA,PSM-ENE,PRC,UA,GIL,PGC,UPL,PLN,PAS,E U,PCPE,UMMP,PEC-VERDE,PH,POR,FE-JONS,NPS,P RIOJANO,CHA,CNG,TC-PNC,AG,ARDE,URCL,PB,PREX,SEES,PRIM,ACI,ENV,FE (I),APP,ARCOIRIS,PVPA,PC,PREPAL,MCE,ATF,PSPC,AIGRANC,UC,AA,FE (A),UNIDA,FPE,UDLA,OS,CONCEYU,PIAP,ABE,PITRCG,LG,PNC,IF,PRB,P TAGOROR,PRGU,MCES,US,PANCAL,INCE,UCE,PED,CCL,FREIXES
174061,172753,60074,0,5765,0,0,0,0,2615,108690,0,0,0,0,740,954,0,0,1692,0,0,0,0,0,0,0,135,0,0,0,0,0,132,257,0,115,0,4650,0,0,0,0,0,0,0,418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,303,0,0,0,0,0,0,0,0,0,0,0
271877,258355,106757,0,25351,0,0,0,0,4532,0,0,0,0,0,1408,920,0,0,2249,0,0,0,0,0,0,243,261,11088,0,0,0,0,178,0,355,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,787,0,0,0,0,0,528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140145,191461,24574,0,7648,0,0,0,2848,8971,0,0,0,0,0,0,1268,0,0,0,0,20118,0,0,0,0,0,550,0,0,0,10053,0,0,369,0,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,416,0,0,0,0,282,0,0,0,0,0,0,0,0,0,0
104367,160131,22382,0,4064,0,102913,0,0,2452,0,0,0,0,0,1460,634,0,0,563,0,0,0,0,0,15246,0,189,0,0,884,0,0,262,0,0,326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278,0,0,0,0,0,0,0,0,0
137281,114535,17932,0,5846,0,104164,0,0,0,0,0,0,0,0,2801,448,0,0,1569,0,0,0,0,0,0,0,374,0,0,0,0,0,305,0,0,454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1159,0,0,0,0,0,0,0,0,0,0,0,0,0,385,0,0,0,0,0,0,0,0,0,0,0,0,0
122418,121967,24453,0,5081,0,0,0,0,1777,0,0,0,0,0,855,557,0,0,729,27005,0,18608,0,0,0,0,184,0,0,537,0,0,239,0,0,147,0,0,0,0,0,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,383,0,0,0,0,0,0,0,0,0,0,0,0
103057,90453,20841,0,4253,0,0,0,0,1310,0,0,0,0,0,619,456,0,0,0,0,0,0,0,0,0,0,125,0,0,0,0,0,132,0,0,116,0,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146867,119123,21856,0,6383,0,0,0,0,1481,0,0,0,0,0,717,550,0,0,0,0,0,0,0,0,0,0,162,0,0,0,0,0,121,0,0,154,0,0,0,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59763,64408,7041,0,3325,0,0,0,0,497,0,0,0,0,0,235,232,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,40,0,0,0,0,0,0,361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35163,46908,8826,0,2300,0,0,0,0,647,0,0,0,0,0,308,311,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,37,0,75,39,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,267,0,0,0,0,0,0,0,0
142960,142403,23324,0,5607,0,0,0,0,1638,0,0,0,0,0,907,681,0,0,0,0,0,0,0,0,0,0,167,0,0,0,0,0,101,0,0,107,0,0,0,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,0,0,0,0,0,0,0
34806,57324,6227,0,13444,0,0,0,0,654,0,0,0,0,0,283,181,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,37,0,0,50,0,0,0,103,0,0,136,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76863,111439,20343,0,6734,0,0,0,0,1907,0,0,0,0,0,920,579,0,0,0,0,0,0,0,0,0,0,128,0,0,0,0,0,113,0,176,165,0,0,0,1622,0,0,0,117,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130241,142574,21510,0,7694,0,0,0,0,1682,0,0,0,0,0,704,627,0,0,0,0,0,0,0,0,0,11805,113,0,0,0,0,0,106,0,220,109,0,0,0,117,0,0,0,1418,0,0,0,0,0,0,0,0,0,0,385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46448,57744,7761,0,3714,0,0,0,0,826,0,0,0,0,0,322,550,0,0,0,0,0,0,0,0,0,52,94,0,0,147,0,0,51,0,122,0,0,0,0,216,0,0,428,35,0,0,0,0,0,0,1410,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87578,114031,15633,0,9041,0,0,0,0,2454,0,0,0,0,0,679,569,0,0,0,0,0,0,0,0,0,110,113,0,0,0,0,0,93,0,169,157,0,0,0,131,0,0,761,83,0,0,0,0,0,0,0,0,0,0,287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
